name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
paris,2022-02-14,11.7,6.4,9.3,11.7,4.1,8.2,5.3,76.7,2.468,100,25,rain,0,0,62.9,27.7,224.8,1004.7,91.3,23.6,44.6,4.1,2,10,2022-02-14T08:00:45,2022-02-14T18:09:38,0.48,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,E3042,07157099999,07147099999,07150099999"
paris,2022-02-15,10.4,4.6,7.8,10.4,1.9,5.3,5,82.6,0.388,100,16.67,rain,0,0,56.6,26.1,240.5,1014.7,76.5,22.3,53.9,4.7,3,10,2022-02-15T07:59:01,2022-02-15T18:11:17,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,E3042,07157099999,07147099999,07150099999"
paris,2022-02-16,15.4,9,12.3,15.4,5.8,11.6,10.2,87.5,3.799,100,37.5,rain,0,0,61.9,27.1,236.1,1007.7,99.3,19.4,30.8,2.8,2,10,2022-02-16T07:57:16,2022-02-16T18:12:55,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07145099999,E3042,07153099999,07157099999,07147099999,C1292,07150099999"
paris,2022-02-17,13.8,10.9,12.3,13.8,10.9,12.3,5.5,64.2,0.527,100,8.33,rain,0,0,61.1,27.6,268.8,1014.4,89.8,17.9,37.1,3.1,2,10,2022-02-17T07:55:29,2022-02-17T18:14:34,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07149099999,07156099999,07146099999,D3543,07157099999,07147099999,C1292,07150099999"
paris,2022-02-18,12.2,6.9,10.5,12.2,2.8,9.7,5.8,74.1,1.963,100,16.67,rain,0,0,72.9,35.3,240,1009.5,93.3,19.7,21.5,1.9,1,10,2022-02-18T07:53:42,2022-02-18T18:16:12,0.52,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,07157099999,07147099999,C1292,07150099999"
paris,2022-02-19,10.3,3.2,7.1,10.3,-0.6,4,0.9,65.5,0,0,0,,0,0,64.4,25.8,246.6,1018.8,48.9,23.7,23.3,2,2,10,2022-02-19T07:51:53,2022-02-19T18:17:50,0.54,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"07149099999,07156099999,07146099999,D3543,07157099999,07147099999,C1292,07150099999"
paris,2022-02-20,13.1,8.3,10.8,13.1,5.4,9.8,6.7,76.2,0.201,100,4.17,rain,0,0,68.8,30.6,237.3,1015.9,96.9,22.6,22.1,1.8,1,10,2022-02-20T07:50:03,2022-02-20T18:19:28,0.58,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"07149099999,07156099999,07146099999,07157099999,07147099999,C1292,07150099999,D3623"
paris,2022-02-21,11,5.9,8.6,11,1.7,5.7,3.1,68.9,2.745,100,20.83,rain,0,0,81.9,32.9,285.9,1014.8,90,17.2,15.8,1.3,1,10,2022-02-21T07:48:12,2022-02-21T18:21:06,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07149099999,07156099999,07146099999,D3543,07145099999,07157099999,07147099999,C1292,07150099999"
paris,2022-02-22,12.2,6.1,9.1,12.2,3.4,7.7,6.2,82.2,0.324,100,12.5,rain,0,0,48.6,22,257.8,1024.5,89.3,15.9,29.3,2.6,1,10,2022-02-22T07:46:20,2022-02-22T18:22:43,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"07149099999,07156099999,07146099999,07157099999,07147099999,C1292,07150099999,D3623"
paris,2022-02-23,11.4,5.1,9.1,11.4,4.2,8.6,5,77,0,0,0,,0,0,30.5,13.6,238.6,1025.8,73.3,19.3,22.7,2.1,1,10,2022-02-23T07:44:27,2022-02-23T18:24:20,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,E3042,07157099999,07147099999,C1292,07150099999"
