date,pm25,pm10,o3,no2,so2,co,AQI
2022/5/3,70.0,47.0,31.0,19.0,0.0,0.0,70.0
2022/5/4,66.0,37.0,31.0,18.0,0.0,0.0,66.0
2022/5/5,48.0,41.0,37.0,20.0,0.0,0.0,48.0
2022/5/6,57.0,46.0,29.0,20.0,0.0,0.0,57.0
2022/5/7,53.0,35.0,29.0,18.0,0.0,0.0,53.0
2022/5/8,76.0,43.0,47.0,32.0,0.0,0.0,76.0
2022/5/9,64.0,60.0,44.0,38.0,0.0,0.0,64.0
2022/5/10,65.0,52.0,31.0,28.0,0.0,0.0,65.0
2022/5/11,52.0,33.0,32.0,20.0,0.0,0.0,52.0
2022/5/12,41.0,31.0,35.0,19.0,0.0,0.0,41.0
2022/5/13,37.0,45.0,41.0,34.0,0.0,0.0,45.0
2022/5/14,50.0,61.0,40.0,30.0,0.0,0.0,61.0
2022/5/15,54.0,36.0,36.0,24.0,0.0,0.0,54.0
2022/5/16,48.0,40.0,39.0,39.0,0.0,0.0,48.0
2022/5/17,54.0,36.0,34.0,27.0,0.0,0.0,54.0
2022/5/18,45.0,51.0,36.0,26.0,0.0,0.0,51.0
2022/5/19,60.0,39.0,33.0,27.0,0.0,0.0,60.0
2022/5/20,54.0,32.0,41.0,29.0,0.0,0.0,54.0
2022/5/21,48.0,32.0,32.0,31.0,0.0,0.0,48.0
2022/5/22,51.0,28.0,25.0,25.0,0.0,0.0,51.0
2022/5/23,46.0,31.0,29.0,16.0,0.0,0.0,46.0
2022/5/24,31.0,23.0,29.0,24.0,0.0,0.0,31.0
2022/5/25,39.0,11.0,28.0,13.0,0.0,0.0,39.0
2022/5/26,21.0,23.0,32.0,15.0,0.0,0.0,32.0
2022/5/27,33.0,46.0,36.0,19.0,0.0,0.0,46.0
2022/5/28,50.0,31.0,34.0,19.0,0.0,0.0,50.0
2022/5/29,38.0,30.0,34.0,27.0,0.0,0.0,38.0
2022/5/30,44.0,36.0,39.0,30.0,0.0,0.0,44.0
2022/5/31,45.0,30.0,37.0,24.0,0.0,0.0,45.0
2022/4/1,39.0,24.0,33.0,20.0,0.0,0.0,39.0
2022/4/2,46.0,28.0,35.0,21.0,0.0,0.0,46.0
2022/4/3,54.0,26.0,35.0,27.0,0.0,0.0,54.0
2022/4/4,46.0,20.0,21.0,22.0,0.0,0.0,46.0
2022/4/5,43.0,22.0,28.0,20.0,0.0,0.0,43.0
2022/4/6,36.0,26.0,32.0,16.0,0.0,0.0,36.0
2022/4/7,29.0,17.0,28.0,25.0,0.0,0.0,29.0
2022/4/8,35.0,18.0,31.0,23.0,0.0,0.0,35.0
2022/4/9,39.0,34.0,35.0,32.0,0.0,0.0,39.0
2022/4/10,63.0,27.0,35.0,20.0,0.0,0.0,63.0
2022/4/11,45.0,31.0,34.0,20.0,0.0,0.0,45.0
2022/4/12,43.0,25.0,28.0,34.0,0.0,0.0,43.0
2022/4/13,52.0,35.0,32.0,31.0,0.0,0.0,52.0
2022/4/14,63.0,33.0,36.0,29.0,0.0,0.0,63.0
2022/4/15,57.0,44.0,36.0,26.0,0.0,0.0,57.0
2022/4/16,63.0,40.0,35.0,31.0,0.0,0.0,63.0
2022/4/17,43.0,36.0,38.0,28.0,0.0,0.0,43.0
2022/4/18,40.0,36.0,35.0,18.0,0.0,0.0,40.0
2022/4/19,46.0,59.0,38.0,27.0,0.0,0.0,59.0
2022/4/20,65.0,53.0,41.0,37.0,0.0,0.0,65.0
2022/4/21,50.0,47.0,38.0,30.0,0.0,0.0,50.0
2022/4/22,49.0,43.0,31.0,27.0,0.0,0.0,49.0
2022/4/23,60.0,37.0,38.0,20.0,0.0,0.0,60.0
2022/4/24,62.0,39.0,36.0,16.0,0.0,0.0,62.0
2022/4/25,61.0,44.0,30.0,23.0,0.0,0.0,61.0
2022/4/26,73.0,46.0,38.0,26.0,0.0,0.0,73.0
2022/4/27,63.0,52.0,41.0,33.0,0.0,0.0,63.0
2022/4/28,68.0,52.0,39.0,25.0,0.0,0.0,68.0
2022/4/29,73.0,64.0,37.0,19.0,0.0,0.0,73.0
2022/4/30,60.0,51.0,38.0,23.0,0.0,0.0,60.0
2022/3/1,92.0,50.0,15.0,36.0,0.0,0.0,92.0
2022/3/2,97.0,54.0,17.0,35.0,0.0,0.0,97.0
2022/3/3,110.0,57.0,14.0,33.0,0.0,0.0,110.0
2022/3/4,112.0,46.0,23.0,26.0,0.0,0.0,112.0
2022/3/5,96.0,55.0,29.0,20.0,0.0,0.0,96.0
2022/3/6,142.0,42.0,24.0,23.0,0.0,0.0,142.0
2022/3/7,90.0,50.0,26.0,40.0,0.0,0.0,90.0
2022/3/8,105.0,48.0,27.0,39.0,0.0,0.0,105.0
2022/3/9,90.0,44.0,31.0,40.0,0.0,0.0,90.0
2022/3/10,72.0,30.0,23.0,35.0,0.0,0.0,72.0
2022/3/11,52.0,21.0,25.0,30.0,0.0,0.0,52.0
2022/3/12,47.0,16.0,28.0,27.0,0.0,0.0,47.0
2022/3/13,42.0,28.0,29.0,31.0,0.0,0.0,42.0
2022/3/14,51.0,27.0,20.0,34.0,0.0,0.0,51.0
2022/3/15,58.0,45.0,20.0,27.0,0.0,0.0,58.0
2022/3/16,66.0,25.0,24.0,20.0,0.0,0.0,66.0
2022/3/17,43.0,34.0,30.0,25.0,0.0,0.0,43.0
2022/3/18,66.0,44.0,37.0,26.0,0.0,0.0,66.0
2022/3/19,75.0,35.0,29.0,25.0,0.0,0.0,75.0
2022/3/20,61.0,46.0,34.0,32.0,0.0,0.0,61.0
2022/3/21,84.0,47.0,39.0,41.0,0.0,0.0,84.0
2022/3/22,76.0,56.0,43.0,48.0,0.0,0.0,76.0
2022/3/23,86.0,58.0,42.0,50.0,0.0,0.0,86.0
2022/3/24,93.0,64.0,51.0,42.0,0.0,0.0,93.0
2022/3/25,124.0,67.0,48.0,33.0,0.0,0.0,124.0
2022/3/26,98.0,63.0,42.0,35.0,0.0,0.0,98.0
2022/3/27,88.0,62.0,42.0,42.0,0.0,0.0,88.0
2022/3/28,105.0,52.0,26.0,39.0,0.0,0.0,105.0
2022/3/29,85.0,53.0,22.0,31.0,0.0,0.0,85.0
2022/3/30,118.0,32.0,28.0,19.0,0.0,0.0,118.0
2022/3/31,71.0,15.0,28.0,18.0,0.0,0.0,71.0
